Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE,Out-of-sample Accuracy
200,sigmoid,11,Momentum,Xavier,0.001,0.05414814129471779,2798.7400183675686,0.7263157894736842
200,sigmoid,11,SGD,Xavier,0.001,0.0822707787156105,2804.413986376189,0.7684210526315789
300,relu,8,Momentum,small_random,0,0.04668600484728813,2808.6062146599484,0.7157894736842105
300,tanh,5,Momentum,small_random,0.0001,0.057555388659238815,2829.7904012376393,0.7052631578947368
200,relu,5,Adam,small_random,0.0001,0.08303868025541306,2830.929886242765,0.8842105263157894
300,relu,11,Adam,Xavier,0.0001,0.03853807970881462,2832.3447561077287,0.7263157894736842
100,sigmoid,11,SGD,Xavier,0,0.09212060272693634,2840.8951586040644,0.7684210526315789
100,sigmoid,5,Momentum,Xavier,0,0.05923173576593399,2854.0076544901085,0.7473684210526316
200,sigmoid,5,Adam,Xavier,0.0001,0.06644938886165619,2861.9331324968634,0.7052631578947368
300,relu,11,Adam,small_random,0.0001,0.0626935213804245,2872.215411402051,0.6842105263157895
200,sigmoid,5,Momentum,Xavier,0,0.05465104430913925,2884.014481668713,0.6947368421052632
300,sigmoid,11,Momentum_with_cosine,small_random,0,0.153412863612175,2885.186939596778,0.7578947368421053
300,tanh,5,Momentum,small_random,0.001,0.04667981341481209,2886.2346950537717,0.6105263157894737
300,sigmoid,11,SGD,small_random,0,0.10036986321210861,2900.7432996294133,0.7368421052631579
300,tanh,8,SGD,small_random,0,0.09674838185310364,2901.573069616736,0.6842105263157895
300,tanh,5,Momentum,Xavier,0.0001,0.04507118836045265,2911.3273674415127,0.7578947368421053
300,tanh,11,SGD,Xavier,0.0001,0.06885822117328644,2918.6808338131495,0.7368421052631579
100,sigmoid,5,Momentum,Xavier,0.001,0.06202413886785507,2921.230399341686,0.7263157894736842
300,sigmoid,8,Adam,small_random,0.0001,0.04387276619672775,2924.0902482041747,0.7368421052631579
300,tanh,8,Momentum,Xavier,0.0001,0.042494915425777435,2925.316598914365,0.7473684210526316
200,tanh,11,Adam,small_random,0,0.06504092365503311,2925.5473036520048,0.7368421052631579
200,sigmoid,8,Adam,Xavier,0,0.060802966356277466,2938.706205932103,0.7684210526315789
100,sigmoid,11,Adam,small_random,0.001,0.06843691319227219,2945.067345186836,0.7052631578947368
300,relu,8,Momentum,Xavier,0,0.041666410863399506,2946.203649057355,0.7473684210526316
